Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2011,"Andrew Baldwin","MIN","AAA",28,143.2,6.703016715916093,2.129930545244366,3.14705882,2.067285529207767,0.17341977,0.05510535,0.11831442,0.27491409,1.3503481234555785,0.28733032,0.6922043,5.512761411220713,5.464164904211861,0.04859650700885165,4.317300831071643,"sa253988"
2014,"Derek Hankins","DET","AAA",30,152,4.203947368421052,2.25,1.86842105,0.9473684210526315,0.10644678,0.05697151,0.04947527,0.30143541,1.493421052631579,0.32037037,0.65343659,5.151315789473684,4.581363768326609,0.569952021147075,4.625837921174734,"sa254024"
2010,"J.R. Mathes","CHC","AAA",28,129,4.465116279069767,1.9534883720930232,2.28571429,1.255813953488372,0.11267606,0.04929577,0.06338029,0.2953271,1.441860465116279,0.30905077,0.63932449,5.441860465116279,5.171754746843678,0.27010571827260055,4.75707238730072,"sa254188"
2011,"Andrew Kown","SFG","AAA",28,136.2,6.782927334142719,3.424390498790499,1.98076923,0.9878049515741824,0.17166667,0.08666667,0.085,0.26199262,1.419512300780677,0.2995283,0.69832402,4.47804911380296,4.976006971140272,-0.4979578573373118,5.200522710325625,"sa254314"
2012,"Andrew Kown","SFG","AAA",29,119,4.991596638655462,3.327731092436975,1.5,1.0588235294117647,0.12359551,0.082397,0.04119851,0.28512397,1.5294117647058822,0.30693069,0.64133017,5.5966386554621845,5.348469548265474,0.24816910719671093,5.308650136582491,"sa254314"
2010,"Gaby Hernandez","KCR","AAA",24,144.2,7.092166397317378,3.4838712127173084,2.03571429,1.9285715641827958,0.18416801,0.0904685,0.09369951,0.25,1.3479263620632445,0.26277372,0.7629256,4.91474688936906,6.098736669206696,-1.1839897798376358,5.127108255060918,"sa254327"
2010,"Chuck Lofgren","MIL","AAA",24,131.2,6.220253645131839,5.1265826745592085,1.21333333,1.6405064558589466,0.15141431,0.12479201,0.0266223,0.275,1.6556963304502332,0.29382716,0.73004202,5.194937110219998,6.415519071296913,-1.220581961076915,5.679349011942055,"sa262158"
2011,"Will Inman","SDP","AAA",24,117,9.23076923076923,4.384615384615385,2.10526316,1.2307692307692308,0.22140221,0.10516605,0.11623616,0.28838174,1.6752136752136753,0.35549133,0.61155153,6.153846153846154,5.048281220493154,1.1055649333530004,5.021027577814893,"sa290185"
2012,"Matt Torra","TBR","AAA",28,147,4.775510204081633,1.5918367346938775,3,1.530612244897959,0.12871287,0.04290429,0.08580858,0.25783972,1.183673469387755,0.2611465,0.75862069,4.1020408163265305,4.964097755458079,-0.8620569391315485,4.460593245274762,"sa291167"
2010,"Matt Torra","ARI","AAA",26,178,5.00561797752809,1.7191011235955056,2.91176471,1.1123595505617978,0.12823834,0.04404145,0.08419689,0.30601093,1.449438202247191,0.33060556,0.7161235,4.550561797752809,4.75114678586467,-0.20058498811186087,4.7841917472608975,"sa291167"
2010,"Polin Trinidad","HOU","AAA",25,118.1,5.628169255997316,2.433802921512353,2.3125,0.9887324368643935,0.1380597,0.05970149,0.07835821,0.28973843,1.4873240075908825,0.3195122,0.59466019,5.019718525619228,4.748804693246642,0.27091383237258615,5.39777968780828,"sa294382"
2013,"Omar Poveda","ATL","AAA",25,164,7.298780487804878,3.2378048780487805,2.25423729,0.6585365853658537,0.19164265,0.08501441,0.10662824,0.24405705,1.298780487804878,0.29218107,0.72927073,3.6219512195121952,3.686605626780813,-0.06465440726861793,3.7471561605610506,"sa294843"
2011,"Amaury Rivas","MIL","AAA",25,150.2,6.451327869201111,4.838495901900833,1.33333333,0.8362832423038478,0.16,0.12,0.04,0.25506757,1.5398231128134339,0.29148936,0.68097015,4.719026867285998,5.2103152023242005,-0.49128833503820246,5.508910440159092,"sa295179"
2012,"Lance Pendleton","TBR","AAA",28,129,7.255813953488372,3.8372093023255816,1.89090909,0.9767441860465116,0.17962003,0.09499136,0.08462867,0.26833977,1.503875968992248,0.3125,0.70953437,4.813953488372093,4.378430930588596,0.43552255778349647,4.579185282040474,"sa3000113"
2010,"L.J. Gagnier","DET","AAA",25,120.2,7.011050314807392,3.281768232463034,2.13636364,1.118784624703307,0.18076923,0.08461538,0.09615385,0.23717949,1.284530495029723,0.26740947,0.72535211,3.505525157403696,4.605810551686901,-1.1002853942832047,4.74908032169551,"sa327100"
